Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2017,Proportion of bodies of water with good ambient water quality [6.3.2],,Percent,,79
2018,Proportion of bodies of water with good ambient water quality [6.3.2],,Percent,,15
2020,Proportion of bodies of water with good ambient water quality [6.3.2],,Percent,,79
