Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2021,Normal value,Units,Not Available,Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,Annual,National,"Police reporting rate for physical assault, by sex (%) [16.3.1]",,Percent,,7.5
2023,Normal value,Units,Not Available,Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,Annual,National,"Police reporting rate for physical assault, by sex (%) [16.3.1]",,Percent,,7.3
2024,Normal value,Units,Not Available,Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,Annual,National,"Police reporting rate for physical assault, by sex (%) [16.3.1]",,Percent,,6.4
