Year,SERIES,Reference area,GeoCode,Value
2008,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,,10.9
2009,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,,12.6
2013,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,,15.5
2016,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,,13.9
2019,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,,58.8
