Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2023,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Number,,4218003.0
2023,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Male,Number,,2081442.0
2023,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Female,Number,,2136561.0
2022,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Percent,,21.9
