Year,SERIES,Reference area,GeoCode,Value
2019,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,0.1
2020,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,0.1
2021,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,0.3
2022,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,0.4
2023,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,0.5
2024,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,0.5
2019,Fixed broadband subscriptions (number) [17.6.1],,,9420.0
2020,Fixed broadband subscriptions (number) [17.6.1],,,17685.0
2021,Fixed broadband subscriptions (number) [17.6.1],,,31902.0
2022,Fixed broadband subscriptions (number) [17.6.1],,,47772.0
2023,Fixed broadband subscriptions (number) [17.6.1],,,62175.0
2024,Fixed broadband subscriptions (number) [17.6.1],,,74091.0
