Year,SERIES,Reference area,GeoCode,Value
2017,Manufacturing employment as a proportion of total employment [9.2.2],,,5.3
2018,Manufacturing employment as a proportion of total employment [9.2.2],,,6.4
2019,Manufacturing employment as a proportion of total employment [9.2.2],,,6.4
2020,Manufacturing employment as a proportion of total employment [9.2.2],,,5.8
2021,Manufacturing employment as a proportion of total employment [9.2.2],,,4.8
2022,Manufacturing employment as a proportion of total employment [9.2.2],,,5.3
2023,Manufacturing employment as a proportion of total employment [9.2.2],,,5.5
2024,Manufacturing employment as a proportion of total employment [9.2.2],,,5.7
