Year,Observation-level footnotes,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2006,Percentage of households with at least one savings account,"EICV, NISR",Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,Percent,,18.9
2011,Percentage of households with at least one savings account,"EICV, NISR",Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,Percent,,36.1
2014,Percentage of households with at least one savings account,"EICV, NISR",Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,Percent,,54.1
2016,Percentage of households with at least one savings account,"EICV, NISR",Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,Percent,,68.0
2020,Percentage of households with at least one savings account,"EICV, NISR",Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,Percent,,93.0
