Year,SERIES,Reference area,GeoCode,Value
2016,Above-ground biomass in forest (tonnes) [15.2.1],,,14.1
2019,Above-ground biomass in forest (tonnes) [15.2.1],,,33.0
2022,Above-ground biomass in forest (tonnes) [15.2.1],,,38.5
