Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Not Available,Proportion of domestic budget funded by domestic taxes,Annual,National,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,,62.4
2017,Normal value,Units,Not Available,Proportion of domestic budget funded by domestic taxes,Annual,National,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,,66.0
2018,Normal value,Units,Not Available,Proportion of domestic budget funded by domestic taxes,Annual,National,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,,66.0
2019,Normal value,Units,Not Available,Proportion of domestic budget funded by domestic taxes,Annual,National,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,,67.0
2020,Normal value,Units,Not Available,Proportion of domestic budget funded by domestic taxes,Annual,National,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,,68.3
2021,Normal value,Units,Not Available,Proportion of domestic budget funded by domestic taxes,Annual,National,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,,60.5
2022,Normal value,Units,Not Available,Proportion of domestic budget funded by domestic taxes,Annual,National,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,,67.0
