Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2020,Normal value,Units,Not Available,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month [16.2.1],,Percent,,15.0
2021,Normal value,Units,Not Available,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month [16.2.1],,Percent,,16.9
2022,Normal value,Units,Not Available,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month [16.2.1],,Percent,,15.0
2023,Normal value,Units,Not Available,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month [16.2.1],,Percent,,6.0
2024,Normal value,Units,Not Available,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month [16.2.1],,Percent,,15.0
