Year,SERIES,Reference area,Sex,GeoCode,Value
2012,Internet users per 100 inhabitants [17.8.1],,,,6.7
2020,Internet users per 100 inhabitants [17.8.1],,,,17.6
2022,Internet users per 100 inhabitants [17.8.1],,,,16.2
2012,Internet users per 100 inhabitants [17.8.1],,Male,,7.3
2020,Internet users per 100 inhabitants [17.8.1],,Male,,23.0
2022,Internet users per 100 inhabitants [17.8.1],,Male,,19.9
2012,Internet users per 100 inhabitants [17.8.1],,Female,,5.3
2020,Internet users per 100 inhabitants [17.8.1],,Female,,12.3
2022,Internet users per 100 inhabitants [17.8.1],,Female,,12.9
