Year,Series,Value
2014,Mean time to Food market,51.6
2017,Mean time to Food market,50.0
2014,Mean time to Primary School,25.6
2017,Mean time to Primary School,25.4
2014,Mean time to Secondary,38.3
2017,Mean time to Secondary,44.4
2014,Mean time to Health center,56.9
2017,Mean time to Health center,49.9
