Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Not Available,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget",Annual,National,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget [17.3.1]",,Percent,,4.0
2017,Normal value,Units,Not Available,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget",Annual,National,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget [17.3.1]",,Percent,,4.1
2020,Normal value,Units,Not Available,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget",Annual,National,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget [17.3.1]",,Percent,,3.3
2021,Normal value,Units,Not Available,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget",Annual,National,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget [17.3.1]",,Percent,,3.7
