Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Not Available,"Number of deaths due to disaster per 100,000 population",Annual,National,"Number of deaths due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,1.59
2017,Normal value,Units,Not Available,"Number of deaths due to disaster per 100,000 population",Annual,National,"Number of deaths due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,0.69
2018,Normal value,Units,Not Available,"Number of deaths due to disaster per 100,000 population",Annual,National,"Number of deaths due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,2.1
2019,Normal value,Units,Not Available,"Number of deaths due to disaster per 100,000 population",Annual,National,"Number of deaths due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,1.08
2020,Normal value,Units,Not Available,"Number of deaths due to disaster per 100,000 population",Annual,National,"Number of deaths due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,2.35
2021,Normal value,Units,Not Available,"Number of deaths due to disaster per 100,000 population",Annual,National,"Number of deaths due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,0.9
2022,Normal value,Units,Not Available,"Number of deaths due to disaster per 100,000 population",Annual,National,"Number of deaths due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,1.55
2023,Normal value,Units,Not Available,"Number of deaths due to disaster per 100,000 population",Annual,National,"Number of deaths due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,1.8
2024,Normal value,Units,Not Available,"Number of deaths due to disaster per 100,000 population",Annual,National,"Number of deaths due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,1.38
2016,Normal value,Units,Not Available,"Number of persons injured or missing due to disaster per 100,000 population",Annual,National,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,1.51
2017,Normal value,Units,Not Available,"Number of persons injured or missing due to disaster per 100,000 population",Annual,National,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,1.28
2018,Normal value,Units,Not Available,"Number of persons injured or missing due to disaster per 100,000 population",Annual,National,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,2.86
2019,Normal value,Units,Not Available,"Number of persons injured or missing due to disaster per 100,000 population",Annual,National,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,2.19
2020,Normal value,Units,Not Available,"Number of persons injured or missing due to disaster per 100,000 population",Annual,National,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,3.27
2021,Normal value,Units,Not Available,"Number of persons injured or missing due to disaster per 100,000 population",Annual,National,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,1.91
2022,Normal value,Units,Not Available,"Number of persons injured or missing due to disaster per 100,000 population",Annual,National,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,3.04
2023,Normal value,Units,Not Available,"Number of persons injured or missing due to disaster per 100,000 population",Annual,National,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,3.01
2024,Normal value,Units,Not Available,"Number of persons injured or missing due to disaster per 100,000 population",Annual,National,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]",,"Per 100,000 population",,3.25
