Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2008,Tuberculosis incidence [3.3.2],,"Per 100,000 population",,98
2012,Tuberculosis incidence [3.3.2],,"Per 100,000 population",,86
2015,Tuberculosis incidence [3.3.2],,"Per 100,000 population",,56
2017,Tuberculosis incidence [3.3.2],,"Per 100,000 population",,50
2018,Tuberculosis incidence [3.3.2],,"Per 100,000 population",,58
2020,Tuberculosis incidence [3.3.2],,"Per 100,000 population",,58
2022,Tuberculosis incidence [3.3.2],,"Per 100,000 population",,57
