Year,SERIES,Reference area,GeoCode,Value
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],,,3.4
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],,,4.9
2020,Tourism direct GDP as a proportion of total GDP [8.9.1],,,1.3
2024,Tourism direct GDP as a proportion of total GDP [8.9.1],,,4.3
