Year,SERIES,REF_AREA,GeoCode,Value
2019,VC_VOV_GDSD,,,0.3
2021,VC_VOV_GDSD,,,0.1
2022,VC_VOV_GDSD,,,0.1
2023,VC_VOV_GDSD,,,0.2
