Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2013,Normal value,Units,Not Available,"Number of new HIV infections per 1,000 uninfected population",Annual,National,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,"Per 1,000 uninfected population",,2.7
2018,Normal value,Units,Not Available,"Number of new HIV infections per 1,000 uninfected population",Annual,National,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,"Per 1,000 uninfected population",,0.1
