Year,SERIES,Reference area,GeoCode,Value
2016,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,3.4
2017,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,4.0
2018,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,3.2
2019,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,3.3
2020,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,3.5
2021,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,3.6
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,3.0
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,4.0
