Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2000,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.1
2001,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.1
2002,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.1
2003,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.1
2004,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.1
2005,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.1
2006,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.1
2007,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.1
2008,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.0
2009,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.0
2010,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.0
2011,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.0
2012,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.0
2013,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.0
2014,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.0
2015,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.0
2016,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.0
2017,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.0
2018,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.0
2019,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.0
2020,Normal value,Units,Not Available,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),Annual,National,Carbon dioxide emissions per unit of GDP [9.4.1],,Kilograms per constant USD,,0.0
