Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2011,SP_ROD_R2KM,,R,PT,,75.7
2014,SP_ROD_R2KM,,R,PT,,85.8
2017,SP_ROD_R2KM,,R,PT,,92.3
2024,SP_ROD_R2KM,,R,PT,,94.6
