Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2015,_L_RW_160103_1,,M,PT,,11
2020,_L_RW_160103_1,,M,PT,,9
2015,_L_RW_160103_1,,F,PT,,14
2020,_L_RW_160103_1,,F,PT,,16
2015,_L_RW_160103_2,,M,PT,,1
2020,_L_RW_160103_2,,M,PT,,6
2015,_L_RW_160103_2,,F,PT,,8
2020,_L_RW_160103_2,,F,PT,,23
