Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1],,Percent,,10.1
2018,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1],,Percent,,11.9
