Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2000,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,,under 5 years old,,"Per 1,000 live births",,196
2005,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,,under 5 years old,,"Per 1,000 live births",,152
2008,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,,under 5 years old,,"Per 1,000 live births",,103
2010,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,,under 5 years old,,"Per 1,000 live births",,76
2015,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,,under 5 years old,,"Per 1,000 live births",,50
2020,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,,under 5 years old,,"Per 1,000 live births",,45
2020,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,Male,under 5 years old,,"Per 1,000 live births",,47
2020,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,Female,under 5 years old,,"Per 1,000 live births",,43
2008,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,,under 5 years old,Urban,"Per 1,000 live births",,87
2010,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,,under 5 years old,Urban,"Per 1,000 live births",,81
2015,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,,under 5 years old,Urban,"Per 1,000 live births",,51
2020,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,,under 5 years old,Urban,"Per 1,000 live births",,35
2008,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,,under 5 years old,Rural,"Per 1,000 live births",,142
2010,Normal value,Units,Not Available,Under-five mortality rate,Annual,National,Under-five mortality rate [3.2.1],,,under 5 years old,Rural,"Per 1,000 live births",,105
