Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2019,Normal value,Units,Not Available,"Broadband
(≥256kbps)",Annual,National,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,,0.1
2020,Normal value,Units,Not Available,"Broadband
(≥256kbps)",Annual,National,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,,0.1
2021,Normal value,Units,Not Available,"Broadband
(≥256kbps)",Annual,National,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,,0.3
2022,Normal value,Units,Not Available,"Broadband
(≥256kbps)",Annual,National,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,,0.4
2023,Normal value,Units,Not Available,"Broadband
(≥256kbps)",Annual,National,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,,0.5
2024,Normal value,Units,Not Available,"Broadband
(≥256kbps)",Annual,National,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,,0.5
2019,Normal value,Units,Not Available,"Broadband
(≥256kbps)",Annual,National,Fixed broadband subscriptions (number) [17.6.1],,Number,,9420.0
2020,Normal value,Units,Not Available,"Broadband
(≥256kbps)",Annual,National,Fixed broadband subscriptions (number) [17.6.1],,Number,,17685.0
2021,Normal value,Units,Not Available,"Broadband
(≥256kbps)",Annual,National,Fixed broadband subscriptions (number) [17.6.1],,Number,,31902.0
2022,Normal value,Units,Not Available,"Broadband
(≥256kbps)",Annual,National,Fixed broadband subscriptions (number) [17.6.1],,Number,,47772.0
2023,Normal value,Units,Not Available,"Broadband
(≥256kbps)",Annual,National,Fixed broadband subscriptions (number) [17.6.1],,Number,,62175.0
2024,Normal value,Units,Not Available,"Broadband
(≥256kbps)",Annual,National,Fixed broadband subscriptions (number) [17.6.1],,Number,,74091.0
