Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2011,Percentage of rural households who live within 0-19 minutes' walk of an all-weather road [9.1.1],,Rural,Percent,,75.7
2014,Percentage of rural households who live within 0-19 minutes' walk of an all-weather road [9.1.1],,Rural,Percent,,85.8
2017,Percentage of rural households who live within 0-19 minutes' walk of an all-weather road [9.1.1],,Rural,Percent,,92.3
2024,Percentage of rural households who live within 0-19 minutes' walk of an all-weather road [9.1.1],,Rural,Percent,,94.6
