Year,SERIES,Reference area,GeoCode,Value
2018,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2],,,9.0
2020,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2],,,11.2
