Year,Value,GeoCode,SERIES
2016,1.59,,"Number of deaths due to disaster per 100,000 population [13.1.1]"
2017,0.69,,"Number of deaths due to disaster per 100,000 population [13.1.1]"
2018,2.1,,"Number of deaths due to disaster per 100,000 population [13.1.1]"
2019,1.08,,"Number of deaths due to disaster per 100,000 population [13.1.1]"
2020,2.35,,"Number of deaths due to disaster per 100,000 population [13.1.1]"
2021,0.9,,"Number of deaths due to disaster per 100,000 population [13.1.1]"
2022,1.55,,"Number of deaths due to disaster per 100,000 population [13.1.1]"
2023,1.8,,"Number of deaths due to disaster per 100,000 population [13.1.1]"
2024,1.38,,"Number of deaths due to disaster per 100,000 population [13.1.1]"
2016,1.51,,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]"
2017,1.28,,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]"
2018,2.86,,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]"
2019,2.19,,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]"
2020,3.27,,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]"
2021,1.91,,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]"
2022,3.04,,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]"
2023,3.01,,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]"
2024,3.25,,"Number of persons injured or missing due to disaster per 100,000 population [13.1.1]"
