Year,Value,GeoCode,SERIES
2014,5.1,,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2]
2017,4.8,,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2]
