Year,Value,GeoCode,UNIT_MEASURE,SERIES
2017,8.7,,Percent,Percentage of the population accessing social security and income support programmes [1.3.1]
2019,10.0,,Percent,Percentage of the population accessing social security and income support programmes [1.3.1]
2020,11.8,,Percent,Percentage of the population accessing social security and income support programmes [1.3.1]
2021,12.3,,Percent,Percentage of the population accessing social security and income support programmes [1.3.1]
2022,11.6,,Percent,Percentage of the population accessing social security and income support programmes [1.3.1]
2023,11.0,,Percent,Percentage of the population accessing social security and income support programmes [1.3.1]
2024,10.0,,Percent,Percentage of the population accessing social security and income support programmes [1.3.1]
2020,0.8,,Percent,Percentage of beneficiaries of the RSSB Maternity Leave Benefits Scheme out of total estimated live births [1.3.1]
2021,0.9,,Percent,Percentage of beneficiaries of the RSSB Maternity Leave Benefits Scheme out of total estimated live births [1.3.1]
2022,0.9,,Percent,Percentage of beneficiaries of the RSSB Maternity Leave Benefits Scheme out of total estimated live births [1.3.1]
2023,1.0,,Percent,Percentage of beneficiaries of the RSSB Maternity Leave Benefits Scheme out of total estimated live births [1.3.1]
2024,0.9,,Percent,Percentage of beneficiaries of the RSSB Maternity Leave Benefits Scheme out of total estimated live births [1.3.1]
2014,6.7,,Percent,Percentage of the population above statutory pensionable age receiving a pension through the RSSB Pension Scheme [1.3.1]
2015,6.9,,Percent,Percentage of the population above statutory pensionable age receiving a pension through the RSSB Pension Scheme [1.3.1]
2017,6.5,,Percent,Percentage of the population above statutory pensionable age receiving a pension through the RSSB Pension Scheme [1.3.1]
2020,5.9,,Percent,Percentage of the population above statutory pensionable age receiving a pension through the RSSB Pension Scheme [1.3.1]
2022,5.6,,Percent,Percentage of the population above statutory pensionable age receiving a pension through the RSSB Pension Scheme [1.3.1]
2023,5.7,,Percent,Percentage of the population above statutory pensionable age receiving a pension through the RSSB Pension Scheme [1.3.1]
2024,6.5,,Percent,Percentage of the population above statutory pensionable age receiving a pension through the RSSB Pension Scheme [1.3.1]
2017,15.6,,Percent,Percentage of contributing members to the RSSB Pension and Occupational Hazards Schemes out of total employed population [1.3.1]
2018,14.7,,Percent,Percentage of contributing members to the RSSB Pension and Occupational Hazards Schemes out of total employed population [1.3.1]
2019,16.9,,Percent,Percentage of contributing members to the RSSB Pension and Occupational Hazards Schemes out of total employed population [1.3.1]
2020,22.1,,Percent,Percentage of contributing members to the RSSB Pension and Occupational Hazards Schemes out of total employed population [1.3.1]
2021,20.8,,Percent,Percentage of contributing members to the RSSB Pension and Occupational Hazards Schemes out of total employed population [1.3.1]
2022,19.1,,Percent,Percentage of contributing members to the RSSB Pension and Occupational Hazards Schemes out of total employed population [1.3.1]
2023,18.2,,Percent,Percentage of contributing members to the RSSB Pension and Occupational Hazards Schemes out of total employed population [1.3.1]
2024,18.3,,Percent,Percentage of contributing members to the RSSB Pension and Occupational Hazards Schemes out of total employed population [1.3.1]
