Year,Value,Units,Series
2016,3.4,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population"
2017,4.0,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population"
2018,3.18,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population"
2019,3.26,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population"
2020,3.49,"Per 100,000 population","Number of victims of intentional homicide per 100,000 population"
2016,392.0,Number,Number of victims of intentional homicide
2017,470.0,Number,Number of victims of intentional homicide
2018,285.0,Number,Number of victims of intentional homicide
2019,404.0,Number,Number of victims of intentional homicide
2020,442.0,Number,Number of victims of intentional homicide
