Year,Value,GeoCode,SERIES
2016,10.1,,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
2018,11.9,,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1]
