Year,Value,GeoCode,UNIT_MEASURE,SERIES
2010,7.87,,Percent,Official development assistance for poverty reduction (percentage of GNI)
2011,6.74,,Percent,Official development assistance for poverty reduction (percentage of GNI)
2012,7.54,,Percent,Official development assistance for poverty reduction (percentage of GNI)
2013,4.51,,Percent,Official development assistance for poverty reduction (percentage of GNI)
2014,7.09,,Percent,Official development assistance for poverty reduction (percentage of GNI)
2016,5.42,,Percent,Official development assistance for poverty reduction (percentage of GNI)
2017,5.13,,Percent,Official development assistance for poverty reduction (percentage of GNI)
2018,4.13,,Percent,Official development assistance for poverty reduction (percentage of GNI)
2019,4.45,,Percent,Official development assistance for poverty reduction (percentage of GNI)
2020,4.67,,Percent,Official development assistance for poverty reduction (percentage of GNI)
2021,7.12,,Percent,Official development assistance for poverty reduction (percentage of GNI)
2022,4.97,,Percent,Official development assistance for poverty reduction (percentage of GNI)
