Year,Value,GeoCode,SERIES
2019,0.1,,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2020,0.1,,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2021,0.3,,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2022,0.4,,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2023,0.5,,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2024,0.5,,Fixed broadband subscriptions per 100 inhabitants [17.6.1]
2019,9420.0,,Fixed broadband subscriptions (number) [17.6.1]
2020,17685.0,,Fixed broadband subscriptions (number) [17.6.1]
2021,31902.0,,Fixed broadband subscriptions (number) [17.6.1]
2022,47772.0,,Fixed broadband subscriptions (number) [17.6.1]
2023,62175.0,,Fixed broadband subscriptions (number) [17.6.1]
2024,74091.0,,Fixed broadband subscriptions (number) [17.6.1]
