Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,305.0,,Metric Tons,Mail volume (tonne kilometres) [9.1.2]
2016,249.9,,Metric Tons,Mail volume (tonne kilometres) [9.1.2]
2017,266.6,,Metric Tons,Mail volume (tonne kilometres) [9.1.2]
2018,339.7,,Metric Tons,Mail volume (tonne kilometres) [9.1.2]
2019,254.9,,Metric Tons,Mail volume (tonne kilometres) [9.1.2]
2020,173.6,,Metric Tons,Mail volume (tonne kilometres) [9.1.2]
2015,7577.5,,Metric Tons,Freight volume (tonne kilometres) [9.1.2]
2016,6660.9,,Metric Tons,Freight volume (tonne kilometres) [9.1.2]
2017,8226.1,,Metric Tons,Freight volume (tonne kilometres) [9.1.2]
2018,10732.4,,Metric Tons,Freight volume (tonne kilometres) [9.1.2]
2019,12094.8,,Metric Tons,Freight volume (tonne kilometres) [9.1.2]
2020,11176.7,,Metric Tons,Freight volume (tonne kilometres) [9.1.2]
2015,641817.0,,Number,Passenger volume (passenger kilometres) [9.1.2]
2016,771454.0,,Number,Passenger volume (passenger kilometres) [9.1.2]
2017,856167.0,,Number,Passenger volume (passenger kilometres) [9.1.2]
2018,1151300.0,,Number,Passenger volume (passenger kilometres) [9.1.2]
2019,1145867.0,,Number,Passenger volume (passenger kilometres) [9.1.2]
2020,277942.0,,Number,Passenger volume (passenger kilometres) [9.1.2]
2021,614215.0,,Number,Passenger volume (passenger kilometres) [9.1.2]
2022,788386.0,,Number,Passenger volume (passenger kilometres) [9.1.2]
