Year,Value,GeoCode,SERIES
2016,23.3,,Regulatory capital to assets (%) [10.5.1]
2018,25.5,,Regulatory capital to assets (%) [10.5.1]
2019,24.1,,Regulatory capital to assets (%) [10.5.1]
2020,21.5,,Regulatory capital to assets (%) [10.5.1]
2021,21.5,,Regulatory capital to assets (%) [10.5.1]
2022,21.7,,Regulatory capital to assets (%) [10.5.1]
2023,21.5,,Regulatory capital to assets (%) [10.5.1]
2016,20.7,,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2018,20.8,,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2019,22.6,,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2020,20.3,,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2021,20.6,,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2022,20.9,,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2023,20.3,,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2016,17.1,,Non-performing loans net of provisions to capital (%) [10.5.1]
2018,11.0,,Non-performing loans net of provisions to capital (%) [10.5.1]
2019,11.0,,Non-performing loans net of provisions to capital (%) [10.5.1]
2020,5.7,,Non-performing loans net of provisions to capital (%) [10.5.1]
2021,4.3,,Non-performing loans net of provisions to capital (%) [10.5.1]
2016,7.6,,Non-performing loans to total gross loans (%) [10.5.1]
2018,6.4,,Non-performing loans to total gross loans (%) [10.5.1]
2019,4.9,,Non-performing loans to total gross loans (%) [10.5.1]
2020,9.0,,Non-performing loans to total gross loans (%) [10.5.1]
2021,6.4,,Non-performing loans to total gross loans (%) [10.5.1]
2016,2.6,,Return on assets (%) [10.5.1]
2018,2.8,,Return on assets (%) [10.5.1]
2019,12.5,,Return on assets (%) [10.5.1]
2020,2.5,,Return on assets (%) [10.5.1]
2016,111.9,,Liquid assets to short term liabilities (%) [10.5.1]
2018,129.6,,Liquid assets to short term liabilities (%) [10.5.1]
2019,180.5,,Liquid assets to short term liabilities (%) [10.5.1]
2020,226.2,,Liquid assets to short term liabilities (%) [10.5.1]
2021,180.5,,Liquid assets to short term liabilities (%) [10.5.1]
2016,-1.6,,Net open position in foreign exchange to capital (%) [10.5.1]
2018,-9.1,,Net open position in foreign exchange to capital (%) [10.5.1]
2019,-4.0,,Net open position in foreign exchange to capital (%) [10.5.1]
2020,-4.7,,Net open position in foreign exchange to capital (%) [10.5.1]
