Year,Value,GeoCode,SERIES
2011,7956736.0,,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1]
2012,10418880.0,,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1]
2013,5102809.0,,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1]
2014,408926.0,,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1]
2015,5094083.0,,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1]
2016,6574017.0,,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1]
2017,8400241.4,,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1]
2018,7426903.8,,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1]
2019,5200425.3,,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1]
2020,520447.0,,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1]
