Year,Value,GeoCode,UNIT_MEASURE,SERIES
2001,5.7,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2002,10.4,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2003,-0.3,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2004,3.7,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2005,6.9,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2006,6.8,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2007,5.3,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2008,7.6,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2009,4.1,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2010,4.1,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2011,5.8,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2012,5.5,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2013,2.8,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2014,3.3,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2015,6.0,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2016,4.1,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2017,1.3,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2018,5.8,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2019,6.8,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2020,-5.7,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2021,8.3,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2022,5.7,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2023,5.9,,Percent,Annual growth rate of real GDP per capita [8.1.1]
2024,6.5,,Percent,Annual growth rate of real GDP per capita [8.1.1]
