Year,Value,GeoCode,SERIES
2019,0.3,,Proportion of population reporting having felt discriminated against [10.3.1]
2021,0.1,,Proportion of population reporting having felt discriminated against [10.3.1]
2022,0.1,,Proportion of population reporting having felt discriminated against [10.3.1]
2023,0.2,,Proportion of population reporting having felt discriminated against [10.3.1]
