Year,Value,GeoCode,SERIES
2000,58.9,,Proportion of population living below the national poverty line [1.2.1]
2005,56.7,,Proportion of population living below the national poverty line [1.2.1]
2011,44.9,,Proportion of population living below the national poverty line [1.2.1]
2014,39.1,,Proportion of population living below the national poverty line [1.2.1]
2017,38.2,,Proportion of population living below the national poverty line [1.2.1]
2024,27.4,,Proportion of population living below the national poverty line [1.2.1]
