Year,Value,GeoCode,UNIT_MEASURE,SERIES
2005,65.3,,Percent,Literacy rate among population aged 15 and above [4.6.1]
2011,69.5,,Percent,Literacy rate among population aged 15 and above [4.6.1]
2014,72.1,,Percent,Literacy rate among population aged 15 and above [4.6.1]
2017,73.2,,Percent,Literacy rate among population aged 15 and above [4.6.1]
2021,72.4,,Percent,Literacy rate among population aged 15 and above [4.6.1]
2024,75.8,,Percent,Literacy rate among population aged 15 and above [4.6.1]
2014,74.1,,Percent,Numeracy rate among population aged 15 and above [4.6.1]
2017,73.4,,Percent,Numeracy rate among population aged 15 and above [4.6.1]
2021,73.3,,Percent,Numeracy rate among population aged 15 and above [4.6.1]
2024,77.6,,Percent,Numeracy rate among population aged 15 and above [4.6.1]
