Year,Value,GeoCode,UNIT_MEASURE,SERIES
2016,1.59,,"Per 100,000 population","Number of deaths due to disaster per 100,000 population [1.5.1]"
2017,0.69,,"Per 100,000 population","Number of deaths due to disaster per 100,000 population [1.5.1]"
2018,2.1,,"Per 100,000 population","Number of deaths due to disaster per 100,000 population [1.5.1]"
2019,1.08,,"Per 100,000 population","Number of deaths due to disaster per 100,000 population [1.5.1]"
2020,2.35,,"Per 100,000 population","Number of deaths due to disaster per 100,000 population [1.5.1]"
2021,0.9,,"Per 100,000 population","Number of deaths due to disaster per 100,000 population [1.5.1]"
2022,1.55,,"Per 100,000 population","Number of deaths due to disaster per 100,000 population [1.5.1]"
2023,1.8,,"Per 100,000 population","Number of deaths due to disaster per 100,000 population [1.5.1]"
2024,1.38,,"Per 100,000 population","Number of deaths due to disaster per 100,000 population [1.5.1]"
2016,1.51,,"Per 100,000 population","Number of persons injured or missing due to disaster per 100,000 population [1.5.1]"
2017,1.28,,"Per 100,000 population","Number of persons injured or missing due to disaster per 100,000 population [1.5.1]"
2018,2.86,,"Per 100,000 population","Number of persons injured or missing due to disaster per 100,000 population [1.5.1]"
2019,2.19,,"Per 100,000 population","Number of persons injured or missing due to disaster per 100,000 population [1.5.1]"
2020,3.27,,"Per 100,000 population","Number of persons injured or missing due to disaster per 100,000 population [1.5.1]"
2021,1.91,,"Per 100,000 population","Number of persons injured or missing due to disaster per 100,000 population [1.5.1]"
2022,3.04,,"Per 100,000 population","Number of persons injured or missing due to disaster per 100,000 population [1.5.1]"
2023,3.01,,"Per 100,000 population","Number of persons injured or missing due to disaster per 100,000 population [1.5.1]"
2024,3.25,,"Per 100,000 population","Number of persons injured or missing due to disaster per 100,000 population [1.5.1]"
