Year,Value,GeoCode,UNIT_MEASURE,SERIES
2011,-6.9,,Percent,Current account balance as a percentage of GDP [17.13.1]
2012,-9.7,,Percent,Current account balance as a percentage of GDP [17.13.1]
2013,-7.5,,Percent,Current account balance as a percentage of GDP [17.13.1]
2014,-11.3,,Percent,Current account balance as a percentage of GDP [17.13.1]
2015,-12.6,,Percent,Current account balance as a percentage of GDP [17.13.1]
2016,-15.2,,Percent,Current account balance as a percentage of GDP [17.13.1]
2017,-9.5,,Percent,Current account balance as a percentage of GDP [17.13.1]
2018,-10.1,,Percent,Current account balance as a percentage of GDP [17.13.1]
2019,-11.9,,Percent,Current account balance as a percentage of GDP [17.13.1]
2020,-12.1,,Percent,Current account balance as a percentage of GDP [17.13.1]
2021,-11.2,,Percent,Current account balance as a percentage of GDP [17.13.1]
2022,-9.4,,Percent,Current account balance as a percentage of GDP [17.13.1]
2023,-11.7,,Percent,Current account balance as a percentage of GDP [17.13.1]
2024,-11.6,,Percent,Current account balance as a percentage of GDP [17.13.1]
2014,-1.0,,USD,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]"
2015,-7.9,,USD,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]"
2016,-4.9,,USD,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]"
2017,74.1,,USD,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]"
2018,14.8,,USD,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]"
2019,30.4,,USD,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]"
2020,-36.7,,USD,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]"
2021,-277.2,,USD,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]"
2022,56.9,,USD,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]"
2023,66.0,,USD,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]"
2024,20.6,,USD,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]"
2011,1.6,,Percent,Foreign direct investment as a percentage of GDP [17.13.1]
2012,3.5,,Percent,Foreign direct investment as a percentage of GDP [17.13.1]
2013,3.0,,Percent,Foreign direct investment as a percentage of GDP [17.13.1]
2014,3.8,,Percent,Foreign direct investment as a percentage of GDP [17.13.1]
2015,1.9,,Percent,Foreign direct investment as a percentage of GDP [17.13.1]
2016,3.2,,Percent,Foreign direct investment as a percentage of GDP [17.13.1]
2017,3.0,,Percent,Foreign direct investment as a percentage of GDP [17.13.1]
2018,3.8,,Percent,Foreign direct investment as a percentage of GDP [17.13.1]
2019,2.5,,Percent,Foreign direct investment as a percentage of GDP [17.13.1]
2020,1.5,,Percent,Foreign direct investment as a percentage of GDP [17.13.1]
2021,2.1,,Percent,Foreign direct investment as a percentage of GDP [17.13.1]
2022,2.3,,Percent,Foreign direct investment as a percentage of GDP [17.13.1]
2023,3.2,,Percent,Foreign direct investment as a percentage of GDP [17.13.1]
2024,4.0,,Percent,Foreign direct investment as a percentage of GDP [17.13.1]
2011,18.8,,Percent,"Gross public sector debt, Central Government, as a percentage of GDP [17.13.1]"
2012,19.5,,Percent,"Gross public sector debt, Central Government, as a percentage of GDP [17.13.1]"
2013,26.8,,Percent,"Gross public sector debt, Central Government, as a percentage of GDP [17.13.1]"
2014,28.7,,Percent,"Gross public sector debt, Central Government, as a percentage of GDP [17.13.1]"
2015,33.3,,Percent,"Gross public sector debt, Central Government, as a percentage of GDP [17.13.1]"
2016,37.7,,Percent,"Gross public sector debt, Central Government, as a percentage of GDP [17.13.1]"
2017,41.8,,Percent,"Gross public sector debt, Central Government, as a percentage of GDP [17.13.1]"
2018,45.7,,Percent,"Gross public sector debt, Central Government, as a percentage of GDP [17.13.1]"
2019,50.8,,Percent,"Gross public sector debt, Central Government, as a percentage of GDP [17.13.1]"
