Year,Value,GeoCode,SERIES
2016,62.4,,Proportion of domestic budget funded by domestic taxes [17.1.2]
2017,66.0,,Proportion of domestic budget funded by domestic taxes [17.1.2]
2018,66.0,,Proportion of domestic budget funded by domestic taxes [17.1.2]
2019,67.0,,Proportion of domestic budget funded by domestic taxes [17.1.2]
2020,68.3,,Proportion of domestic budget funded by domestic taxes [17.1.2]
2021,60.5,,Proportion of domestic budget funded by domestic taxes [17.1.2]
2022,67.0,,Proportion of domestic budget funded by domestic taxes [17.1.2]
