Year,Value,GeoCode,UNIT_MEASURE,SERIES
2000,0.1,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2001,0.1,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2002,0.1,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2003,0.1,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2004,0.1,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2005,0.1,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2006,0.1,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2007,0.1,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2008,0.0,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2009,0.0,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2010,0.0,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2011,0.0,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2012,0.0,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2013,0.0,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2014,0.0,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2015,0.0,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2016,0.0,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2017,0.0,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2018,0.0,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2019,0.0,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2020,0.0,,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
