Year,Value,GeoCode,SERIES
2015,17.5,,Percentage  of citizens who have encountered corruption while interacting with service providers
2016,24.4,,Percentage  of citizens who have encountered corruption while interacting with service providers
2017,23.9,,Percentage  of citizens who have encountered corruption while interacting with service providers
2018,20.4,,Percentage  of citizens who have encountered corruption while interacting with service providers
2019,18.5,,Percentage  of citizens who have encountered corruption while interacting with service providers
2020,19.2,,Percentage  of citizens who have encountered corruption while interacting with service providers
2021,22.9,,Percentage  of citizens who have encountered corruption while interacting with service providers
2022,29.1,,Percentage  of citizens who have encountered corruption while interacting with service providers
2023,23.5,,Percentage  of citizens who have encountered corruption while interacting with service providers
2024,13.2,,Percentage  of citizens who have encountered corruption while interacting with service providers
