Year,Value,GeoCode,SERIES
2015,5.0,,Unsentenced detainees as a proportion of overall prison population [16.3.2]
2016,5.0,,Unsentenced detainees as a proportion of overall prison population [16.3.2]
2017,6.0,,Unsentenced detainees as a proportion of overall prison population [16.3.2]
2018,6.0,,Unsentenced detainees as a proportion of overall prison population [16.3.2]
2019,9.0,,Unsentenced detainees as a proportion of overall prison population [16.3.2]
2020,14.0,,Unsentenced detainees as a proportion of overall prison population [16.3.2]
2021,10.9,,Unsentenced detainees as a proportion of overall prison population [16.3.2]
2022,13.6,,Unsentenced detainees as a proportion of overall prison population [16.3.2]
2016,2543.0,,Unsentenced detainees (number) [16.3.2]
2017,3675.0,,Unsentenced detainees (number) [16.3.2]
2018,3715.0,,Unsentenced detainees (number) [16.3.2]
2019,6373.0,,Unsentenced detainees (number) [16.3.2]
2020,6373.0,,Unsentenced detainees (number) [16.3.2]
2021,9697.0,,Unsentenced detainees (number) [16.3.2]
2022,12239.0,,Unsentenced detainees (number) [16.3.2]
