Year,Value,GeoCode,UNIT_MEASURE,SERIES
2016,86.2,,Percent,Proportion of informal employment in non-agriculture employment [8.3.1]
2017,84.6,,Percent,Proportion of informal employment in non-agriculture employment [8.3.1]
2018,83.5,,Percent,Proportion of informal employment in non-agriculture employment [8.3.1]
2019,83.5,,Percent,Proportion of informal employment in non-agriculture employment [8.3.1]
2021,82.0,,Percent,Proportion of informal employment in non-agriculture employment [8.3.1]
2022,84.1,,Percent,Proportion of informal employment in non-agriculture employment [8.3.1]
2023,83.3,,Percent,Proportion of informal employment in non-agriculture employment [8.3.1]
2024,85.5,,Percent,Proportion of informal employment in non-agriculture employment [8.3.1]
