Year,Value,GeoCode,SERIES
2017,5.3,,Manufacturing employment as a proportion of total employment [9.2.2]
2018,6.4,,Manufacturing employment as a proportion of total employment [9.2.2]
2019,6.4,,Manufacturing employment as a proportion of total employment [9.2.2]
2020,5.8,,Manufacturing employment as a proportion of total employment [9.2.2]
2021,4.8,,Manufacturing employment as a proportion of total employment [9.2.2]
2022,5.3,,Manufacturing employment as a proportion of total employment [9.2.2]
2023,5.5,,Manufacturing employment as a proportion of total employment [9.2.2]
2024,5.7,,Manufacturing employment as a proportion of total employment [9.2.2]
