Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,5.8,,"Per 100,000 population","Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2016,6.0,,"Per 100,000 population","Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2017,5.9,,"Per 100,000 population","Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2018,5.4,,"Per 100,000 population","Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2019,5.3,,"Per 100,000 population","Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2020,5.2,,"Per 100,000 population","Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2022,4.4,,"Per 100,000 population","Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2023,4.3,,"Per 100,000 population","Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2024,4.4,,"Per 100,000 population","Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2015,8.2,,"Per 100,000 population","Number of commercial bank branches per 100,000 adults [8.10.1]"
2016,8.2,,"Per 100,000 population","Number of commercial bank branches per 100,000 adults [8.10.1]"
2017,7.4,,"Per 100,000 population","Number of commercial bank branches per 100,000 adults [8.10.1]"
2018,7.4,,"Per 100,000 population","Number of commercial bank branches per 100,000 adults [8.10.1]"
2019,6.9,,"Per 100,000 population","Number of commercial bank branches per 100,000 adults [8.10.1]"
