Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2000,Maternal mortality ratio,"DHS, NISR",SH_STA_MORT,,PER_100000_LIVE_BIRTHS,,1071
2005,Maternal mortality ratio,"DHS, NISR",SH_STA_MORT,,PER_100000_LIVE_BIRTHS,,750
2010,Maternal mortality ratio,"DHS, NISR",SH_STA_MORT,,PER_100000_LIVE_BIRTHS,,476
2015,Maternal mortality ratio,"DHS, NISR",SH_STA_MORT,,PER_100000_LIVE_BIRTHS,,210
2020,Maternal mortality ratio,"DHS, NISR",SH_STA_MORT,,PER_100000_LIVE_BIRTHS,,203
