Year,SERIES,REF_AREA,SEX,AGE,GeoCode,Value
2015,SP_DYN_MRBF15,,F,Y0T14,,0.4
2020,SP_DYN_MRBF15,,F,Y0T14,,0.3
2015,SP_DYN_MRBF18,,F,Y0T17,,6.8
2020,SP_DYN_MRBF18,,F,Y0T17,,5.5
