Year,Observation-level footnotes,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2017,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Ministry in Charge of Emergency Management (MINEMA),Number of local governments that adopt and implement local DRR strategies in line with national strategies [11.b.2],,Percent,,77.3
2018,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Ministry in Charge of Emergency Management (MINEMA),Number of local governments that adopt and implement local DRR strategies in line with national strategies [11.b.2],,Percent,,96.7
2019,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Ministry in Charge of Emergency Management (MINEMA),Number of local governments that adopt and implement local DRR strategies in line with national strategies [11.b.2],,Percent,,100.0
2020,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Ministry in Charge of Emergency Management (MINEMA),Number of local governments that adopt and implement local DRR strategies in line with national strategies [11.b.2],,Percent,,100.0
2021,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Ministry in Charge of Emergency Management (MINEMA),Number of local governments that adopt and implement local DRR strategies in line with national strategies [11.b.2],,Percent,,100.0
2022,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Ministry in Charge of Emergency Management (MINEMA),Number of local governments that adopt and implement local DRR strategies in line with national strategies [11.b.2],,Percent,,100.0
2023,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Ministry in Charge of Emergency Management (MINEMA),Number of local governments that adopt and implement local DRR strategies in line with national strategies [11.b.2],,Percent,,100.0
