Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,HMIS (Health sector annual report 2020/21),SH_XPD_EARN25,,PT,,5.1
2017,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,HMIS (Health sector annual report 2020/21),SH_XPD_EARN25,,PT,,4.8
