Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2017,"Proportion of population achieving at least a fixed level of proficiency in functional skills - All levels, Literacy rate (%) among youth population",MINEDUC,_L_RW_040601_1,,,PT,,84.6
2017,"Proportion of population achieving at least a fixed level of proficiency in functional skills - All levels, Literacy rate (%) among youth population",MINEDUC,_L_RW_040601_1,,M,PT,,84.2
2017,"Proportion of population achieving at least a fixed level of proficiency in functional skills - All levels, Literacy rate (%) among youth population",MINEDUC,_L_RW_040601_1,,F,PT,,85.0
2017,"Proportion of population achieving at least a fixed level of proficiency in functional skills  - All levels, Numeracy rate (%) among youth population",MINEDUC,_L_RW_040601_2,,,PT,,84.8
2017,"Proportion of population achieving at least a fixed level of proficiency in functional skills  - All levels, Numeracy rate (%) among youth population",MINEDUC,_L_RW_040601_2,,M,PT,,84.7
2017,"Proportion of population achieving at least a fixed level of proficiency in functional skills  - All levels, Numeracy rate (%) among youth population",MINEDUC,_L_RW_040601_2,,F,PT,,84.9
