Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,_L_RW_070201_1,,PT,,53.0
2017,_L_RW_070201_1,,PT,,61.0
2020,_L_RW_070201_1,,PT,,62.3
