Indicator,Disaggregation combinations using this value
#1-2-1,1
#1-2-2,1
#1-3-1,1
#3-1-2,1
#3-2-1,1
#4-4-1,9
#4-5-1,12
#5-b-1,1
#6-1-1,1
#6-2-1,1
#7-1-2,1
