Indicator,Disaggregation combinations using this value
#10-3-1,1
#16-b-1,1
#17-13-1,1
#5-4-1,3
#5-5-2,1
#8-3-1,3
#8-5-1,9
#8-5-2,4
#8-6-1,2
#9-2-2,1
