Indicator
#1-3-1
#1-4-1
#1-a-2
#10-5-1
#11-5-2
#13-1-1
#16-1-1
#16-1-3
#16-2-2
#16-3-2
#2-1-2
#2-2-2
#2-5-1
#3-4-2
#3-6-1
#3-b-1
#3-c-1
#4-1-1
#4-2-1
#4-4-1
#4-5-1
#4-6-1
#4-a-1
#5-2-1
#5-3-1
#5-5-1
#5-a-1
#6-1-1
#6-2-1
#6-5-2
#8-10-1
#8-5-1
#8-5-2
#8-6-1
#8-8-1
#9-1-2
#9-2-1
#9-c-1
