Indicator,Disaggregation combinations using this value
#1-2-1,2
#1-3-1,1
#1-4-1,1
#1-4-2,1
#16-1-3,2
#16-2-3,1
#16-9-1,1
#17-8-1,1
#2-2-1,1
#2-2-2,2
#3-2-1,1
#3-2-2,1
#3-a-1,1
#3-b-1,3
#4-1-1,2
#4-2-1,4
#4-2-2,1
#4-3-1,1
#4-6-1,2
#4-c-1,3
#5-4-1,1
#5-a-1,1
#8-5-2,1
#8-7-1,1
#8-8-1,2
