Value,Disaggregation combinations using this value,Number of indicators
11,2,2
12,2,2
13,2,2
21,2,2
22,2,2
23,2,2
24,2,2
25,2,2
26,2,2
27,2,2
28,2,2
31,2,2
32,2,2
33,2,2
34,2,2
35,2,2
36,2,2
37,2,2
41,2,2
42,2,2
43,2,2
44,2,2
45,2,2
51,2,2
52,2,2
53,2,2
54,2,2
55,2,2
56,2,2
57,2,2
