Indicator,Disaggregation combinations using this value
#1-2-1,2
#1-3-1,1
#1-4-2,1
#16-1-3,2
#2-2-2,1
#4-2-1,4
#4-2-2,1
#4-3-1,1
#4-6-1,2
#4-c-1,3
#5-2-1,3
#5-4-1,1
#8-5-1,15
#8-5-2,1
#8-7-1,1
