Indicator
#1-2-1
#1-3-1
#1-4-2
#16-1-3
#16-9-1
#17-8-1
#2-2-1
#2-2-2
#3-2-1
#3-2-2
#3-7-1
#3-7-2
#3-a-1
#3-b-1
#4-1-1
#4-2-1
#4-2-2
#4-3-1
#4-6-1
#4-c-1
#5-4-1
#5-a-1
#8-5-1
#8-5-2
#8-7-1
#8-8-1
