Value,Disaggregation combinations using this value,Number of indicators
CL_AGE.M12T23,1,1
CL_AGE.M36T59,3,1
CL_AGE.Y0T14,3,2
CL_AGE.Y0T17,1,1
CL_AGE.Y0T4,10,1
CL_AGE.Y15T24,3,1
CL_AGE.Y16T24,3,2
CL_AGE.Y16T30,1,1
CL_AGE.Y25T34,2,1
CL_AGE.Y55T64,2,1
CL_AGE.Y_GE15,3,1
CL_AGE.Y_GE16,4,2
CL_AGE.Y_GE6,3,1
CL_AGE.Y_GE65,2,1
